name,longitude,latitude,price,streetAddress,postcode,house_type
!!WAY!! UNDER **SUNNY** PRICE 1 BED STEPS TO PROSPECT PARK,-73.956478,40.656711,"$1,650 ",Winthrop,11225,Apartment
Large 5 bedroom Yonkers NY,-73.896654,40.916074,"$3,000 ",,10705,Apartment
"*DEAL* PLG studio!! RENT STABILIZED!! By B, Q & S Trains!! *SEXY*",-73.960877,40.660897,"$1,550 ",Lincoln Rd,11225,Apartment
*PRIME CROWN HEIGHTS BIG 2 BED* STABILIZED,-73.941694,40.674748,"$1,995 ",Kingston Ave,11213,Apartment
*SMOKING HOT 1 BED ON FRANKLIN AVE* BIG BIG BIG!!,-73.958927,40.668021,"$1,850 ",Franklin ave,11225,Apartment
"Sunny 1 Bed Gem, Only 2 Blocks to R Train, MUST SEE!",-73.985429,40.678344,"$2,000 ",252 3rd Avenue,11217,Apartment
*SMOKIN* NO FEE GIANT 3 BED 2 BATH IN SEXY PROSPECT LEFFERTS GARDENS,-73.96056,40.659496,"$2,595 ",Midwood,11225,Apartment
"Stunning 3Bed/2Bath, Massive Private Deck, Steps to Union St. R Train!",-73.983285,40.677058,"$4,000 ",228 Fourth Avenue,11217,Apartment
"NO FEE Gorgeous 2 Bed Bushwick Abode, Steps to Train!",-73.918329,40.688528,"$2,150 ",1111 Putnam Avenue,11221,Apartment
Sunny Studio - No Brokers,-73.9588,40.7685,"$1,675 ",,10021,Apartment
"424 WEA/81st, SS/Granite Kit, WEA's Only Luxury Postwar Rental, NO FEE",-73.980481,40.785281,"$5,150 ",424 WEST END AVENUE,10023,Apartment
"424 WEA/81st, SS/Granite Kit, WEA's Only Luxury Postwar Rental, NO FEE",-73.980481,40.785281,"$4,695 ",424 WEST END AVENUE,10023,Apartment
3 Br for $2100 in THE HEART OF LITTLE ITALY,-73.8895,40.8633,"$2,100 ",2400,10458,Apartment
Huge 2 Bedroom Basement With Brick Walls,-73.881661,40.844594,"$1,570 ",E 180th St.,10460,Apartment
NO FEE LIMITED TIME MIDWOOD APTS. DSJ Realty 718 266-3700,-73.989132,40.606456,"$1,779 ",Kings Highway,11214,Apartment
3br SMITH ST. in COBBLE HILL--Central Historic Downtown Broo,-73.992534,40.68386,"$3,000 ",Smith St.,11245,Apartment
"No Fee- Renovated 1BR on Haven Ave, Laundry in building,",-73.942,40.8382,"$1,895 ",,10032,Apartment
OCT 1 MOVE IN - 2 Bed East Harlem - Spacious!,-73.9371,40.8011,"$1,975 ",east 124th,10035,Apartment
3 bedroom  in Greenwood Heights/South Slope Historic B,-73.993971,40.665421,"$2,750 ",17th Str,11215,Apartment
3BR BOERUM HILL HISTORIC DOWNTOWN BROOKLYN (Atlantic Ave.),-73.98159,40.685731,"$3,100 ",Atlantic Ave,11217,Apartment
OCT FREE LARGE MIDTOWN 1 BR WITH PARADE VIEWS �?SUBLET OR 1 YEAR LEASE,-73.978139,40.763024,"$2,997 ",101 West 55th Street,10105,Apartment
this apartment will make all your friends jealous!,-74.0013,40.7101,"$2,450 ",,10090,Apartment
Sun drenched corner unit with oversized windows!,-74.0135,40.7085,"$2,200 ",,10006,Apartment
"Large, bright, Williamsburg apartment",-73.945,40.6451,"$3,800 ",N 3rd,11203,Apartment
"Large One Bedroom / One Bath - On Sakura Park, Steps from Columbia!!",-73.961549,40.813014,"$2,450 ",140 Claremont Avenue,10115,Apartment
UWS 1 Bdrm with Washer & Dryer,-73.953046,40.803442,"$3,295 ",219B  West 116th Street,10026,Apartment
Brand New PLG Studio,-73.9612,40.6612,"$1,700 ",,11225,Apartment
Park Views! Large 1 Bed / 1 Bath - Steps from Columbia University!!,-73.961549,40.813014,"$2,600 ",140 Claremont Avenue,10115,Apartment
Columbia University - Two Bedroom Sponsor Unit,-73.959267,40.815346,"$2,400 ","31 Tiemann Place, 43",10027,Apartment
